"","X","ENS","PreB_shPhf23_1_count","PreB_shPhf23_2_count","PreB_shPhf23_3_count","PreB_shRen_1_count","PreB_shRen_2_count","PreB_shRen_3_count","PreB_shPhf23_1_TPM","PreB_shPhf23_2_TPM","PreB_shPhf23_3_TPM","PreB_shRen_1_TPM","PreB_shRen_2_TPM","PreB_shRen_3_TPM","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","cluster"
"10676",10676,"ENSMUSG00000021385",414,419,442,480,438,420,0.28290807,0.291747653,0.299812857,0.322023784,0.299308537,0.337140621,433.600604,-0.093372621,0.090670635,-1.029800014,0.303103894,0.706284096,"Ippk",75678,"H3K4me3_H3K27ac_RNA"
"23279",23279,"ENSMUSG00000021451",4242,4190,4234,4012,4024,3287,2.28974346,2.304509693,2.26855862,2.126076096,2.17207159,2.084167719,4012.077297,0.14171663,0.047890762,2.959164213,0.003084747,0.06141879,"Sema4d",20354,"H3K4me3_H3K27ac_RNA"
"9700",9700,"ENSMUSG00000025867",4964,4483,4797,5390,5381,4542,6.200610415,5.705842304,5.947786628,6.609873606,6.721491669,6.664485082,5042.833655,-0.12579101,0.055462665,-2.268030379,0.023327355,0.216094396,"Cplx2",12890,"H3K4me3_H3K27ac_RNA"
"22093",22093,"ENSMUSG00000025871",2111,1875,2059,2016,1906,1618,1.576053461,1.426370463,1.525885856,1.477661495,1.42300232,1.418985726,1949.960331,0.10483343,0.063623335,1.647719806,0.099410182,0.45121726,"4833439L19Rik",97820,"H3K4me3_H3K27ac_RNA"
"24324",24324,"ENSMUSG00000025870",69,79,74,52,80,60,0.17624038,0.205604101,0.187616504,0.130395136,0.204336672,0.1800215,73.23029848,0.187339412,0.210099002,0.891672071,0.372568728,0.760924484,"Arl10",56795,"H3K4me3_H3K27ac_RNA"
"20140",20140,"ENSMUSG00000025873",1431,1239,1508,1401,1286,1256,0.817818592,0.721501113,0.855463879,0.786062717,0.73495088,0.843186769,1354.272942,0.057655493,0.075221949,0.766471675,0.443395699,0.80232976,"Faf2",76577,"H3K4me3_H3K27ac_RNA"
"17792",17792,"ENSMUSG00000021488",5072,5145,5450,5113,5498,4720,2.442226024,2.524296366,2.604870283,2.41704157,2.647349897,2.669718101,5084.108814,0.008283236,0.05573975,0.14860555,0.881864894,0.970400927,"Nsd1",18193,"H3K4me3_H3K27ac_RNA"
"13396",13396,"ENSMUSG00000021497",168,175,208,202,180,171,0.679913148,0.721656553,0.835584705,0.802596468,0.728478373,0.812937328,174.7479219,-0.028760822,0.133264903,-0.215816924,0.829130455,0.956820711,"Txndc15",69672,"H3K4me3_H3K27ac_RNA"
"12325",12325,"ENSMUSG00000021540",1390,1470,1586,1556,1487,1477,0.560520323,0.604007388,0.634837738,0.616010157,0.59963577,0.699638751,1403.757076,-0.050103234,0.070707654,-0.708597042,0.478574573,0.821230852,"Smad5",17129,"H3K4me3_H3K27ac_RNA"
"10732",10732,"ENSMUSG00000021458",372,367,374,391,438,340,0.091676632,0.092157382,0.091489299,0.094600664,0.107941841,0.09842636,376.2736932,-0.09139259,0.094556999,-0.966534377,0.333776854,0.731333267,"2010111I01Rik",72061,"H3K4me3_H3K27ac_RNA"
"10647",10647,"ENSMUSG00000021470",1030,973,1077,1108,1090,1033,0.290480209,0.279602157,0.301493543,0.306775591,0.307401386,0.342212952,1010.095444,-0.094035123,0.067956706,-1.383750467,0.166434875,0.564122474,"Ercc6l2",76251,"H3K4me3_H3K27ac_RNA"
"15912",15912,"ENSMUSG00000032999",0,0,0,0,0,0,0,0,0,0,0,0,0.206268553,0,3.772419662,0,1,NA,"Nlrp4f",97895,"H3K4me3_H3K27ac_RNA"
"32596",32596,"ENSMUSG00000021598",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Med10",28077,"H3K4me3_H3K27ac_RNA"
"8819",8819,"ENSMUSG00000021591",595,592,625,669,749,583,0.503797406,0.510750759,0.525293428,0.5561178,0.634192028,0.579861552,599.1294454,-0.163635224,0.081608715,-2.005119476,0.044950276,0.306225986,"Glrx",93692,"H3K4me3_H3K27ac_RNA"
"8921",8921,"ENSMUSG00000074794",389,330,367,388,376,423,0.192255707,0.166185043,0.180044017,0.18826218,0.185830709,0.2455765,384.7634832,-0.159066321,0.119075256,-1.335846978,0.181599294,0.584364633,"Arrdc3",105171,"H3K4me3_H3K27ac_RNA"
"58",58,"ENSMUSG00000021614",217,169,120,1437,1360,1139,0.066354099,0.05265542,0.03642271,0.431386459,0.415859791,0.40911796,517.3769916,-2.978321174,0.222328678,-13.39602791,6.38e-41,2.19e-37,"Vcan",13003,"H3K4me3_H3K27ac_RNA"
"6293",6293,"ENSMUSG00000045312",7,4,7,6,10,7,0.003117457,0.001815143,0.00309445,0.002623345,0.004453511,0.003661991,6.77377406,-0.376798565,0.630013536,-0.59808011,0.549786481,NA,"Lhfpl2",218454,"H3K4me3_H3K27ac_RNA"
"13022",13022,"ENSMUSG00000021686",2065,1933,2011,2158,2127,1785,2.407918402,2.296687554,2.327645133,2.470443167,2.480214257,2.444987977,1979.758014,-0.03559345,0.05416338,-0.657149717,0.511084654,0.835762264,"Ap3b1",11774,"H3K4me3_H3K27ac_RNA"
