"","fold_change","cluster","log_mean"
"1145",9.5314,"co_binding",3.25268813698043
"1146",3.84331,"co_binding",1.94234934835629
"1147",2.89801,"co_binding",1.53506257313001
"1148",3.15161,"co_binding",1.65608901770117
"1149",3.69766,"co_binding",1.88661257496799
"1150",3.22838,"co_binding",1.69081040260876
"1151",2.74719,"co_binding",1.45795669293235
"1152",4.45824,"co_binding",2.15647428314991
"10200",2.65779,"co_binding",1.41022711743297
"10201",7.348,"co_binding",2.87735162644926
"10202",2.60485,"co_binding",1.38120029746086
"10203",3.43949,"co_binding",1.78219466114317
"1165",9.42921,"co_binding",3.23713690379269
"10211",7.46249,"co_binding",2.89965709311646
"1169",7.50192,"co_binding",2.90725987827282
"1170",2.50064,"co_binding",1.32229737755167
"1171",3.53132,"co_binding",1.8202075606883
"1172",4.76359,"co_binding",2.25204924644692
"1173",3.27602,"co_binding",1.71194416461407
"1174",3.60705,"co_binding",1.85081942153194
"1175",3.30924,"co_binding",1.72649992575558
"1176",2.64601,"co_binding",1.4038185139685
"1177",3.85656,"co_binding",1.94731455638192
"1178",3.47915,"co_binding",1.79873488062237
"1179",4.4356,"co_binding",2.14912926990993
"1180",3.93256,"co_binding",1.97546877734906
"1181",3.86641,"co_binding",1.95099463123865
"1182",7.36401,"co_binding",2.88049158580523
"10217",8.96606,"co_binding",3.16447415379556
"10218",2.19358,"co_binding",1.13328732249511
"10219",3.05374,"co_binding",1.61057723414573
"10220",3.58227,"co_binding",1.84087407908297
"10221",3.02921,"co_binding",1.5989415964419
"10222",2.80117,"co_binding",1.48602954168253
"10223",2.83727,"co_binding",1.50450344674423
"10224",2.25991,"co_binding",1.17626531903909
"10225",4.17263,"co_binding",2.06095699804412
"10226",4.80807,"co_binding",2.26545790019172
"10227",3.20346,"co_binding",1.67963097640449
"10228",3.55959,"co_binding",1.83171107854258
"10229",3.62889,"co_binding",1.85952832607608
"10230",3.17774,"co_binding",1.6680010894267
"10231",4.31771,"co_binding",2.11026634766521
"10232",2.86119,"co_binding",1.51661530435674
"1197",10.76126,"co_binding",3.4277751030168
"10241",5.54034,"co_binding",2.4699745144085
"1198",3.84331,"co_binding",1.94234934835629
"1199",2.80828,"co_binding",1.48968678695038
"1200",2.92091,"co_binding",1.54641790607738
"1201",2.76718,"co_binding",1.46841649167507
"1202",3.10171,"co_binding",1.63306380529086
"1203",3.50097,"co_binding",1.80775469928808
"1204",3.03488,"co_binding",1.6016394730452
"1205",3.68957,"co_binding",1.88345268755506
"1206",3.59535,"co_binding",1.84613222092491
"1207",4.3045,"co_binding",2.10584566749116
"1208",3.56352,"co_binding",1.83330302141192
"1209",2.23845,"co_binding",1.16250009328829
"1210",3.22838,"co_binding",1.69081040260876
"1211",3.22838,"co_binding",1.69081040260876
"10242",3.31453,"co_binding",1.72880431083806
"1215",7.64905,"co_binding",2.93528057847247
"10244",7.15298,"co_binding",2.8385444077018
"1247",8.45528,"co_binding",3.07985253085321
"1248",2.23845,"co_binding",1.16250009328829
"10260",7.50434,"co_binding",2.90772519368508
"10261",3.2038,"co_binding",1.67978408906556
"1249",5.20939,"co_binding",2.38111444822397
"10262",3.61565,"co_binding",1.85425502960511
"1250",2.90948,"co_binding",1.54076132892134
"1251",2.55714,"co_binding",1.35453114836862
"1252",2.54671,"co_binding",1.34863468580684
"1253",2.38908,"co_binding",1.25645516424668
"1254",11.63791,"co_binding",3.54076008927056
"1255",2.76718,"co_binding",1.46841649167507
"1256",3.07465,"co_binding",1.62042219191428
"10263",2.90905,"co_binding",1.54054809332104
"10264",11.37561,"co_binding",3.50787200462762
"10265",3.12681,"co_binding",1.64469155684345
"10266",4.69021,"co_binding",2.22965251957988
"10267",2.52191,"co_binding",1.33451679078488
"1257",10.37026,"co_binding",3.37438016030257
"1258",4.3045,"co_binding",2.10584566749116
"1259",2.64601,"co_binding",1.4038185139685
"10268",12.28948,"co_binding",3.61935196769374
"10269",3.43949,"co_binding",1.78219466114317
"1260",3.07465,"co_binding",1.62042219191428
"1261",2.6847,"co_binding",1.42476088422808
"1262",3.38211,"co_binding",1.75792358283298
"1263",3.28503,"co_binding",1.71590654578462
"1264",2.234,"co_binding",1.15962918582123
"1265",2.03618,"co_binding",1.02586510248867
